Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
592216,Como Fazer Amigos E Influenciar Pessoas,Dale Carnegie,"Carnegie, Dale","Fernando Tude de Souza, Alípio Correia de Franca Neto","=""8504004864""","=""9788504004861""",0,4.20,Companhia Editora Nacional,Paperback,321,2003,1936,,2020/10/13,,,read,,,,1,,,0,,,,,
21820378,Mastering Bitcoin: Unlocking Digital Cryptocurrencies,Andreas M. Antonopoulos,"Antonopoulos, Andreas M.",,"=""1449374042""","=""9781449374044""",0,4.31,O'Reilly Media,Paperback,298,2014,2014,,2020/10/13,,,read,,,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.22,Harper,Kindle Edition,450,2017,2017,,2020/10/13,,,read,,,,1,,,0,,,,,
19151518,Desenvolvimento Ágil para Web 2.0 com Ruby on Rails,www.caelum.com.br,"www.caelum.com.br, www.caelum.com.br",,"=""""","=""""",0,4.00,,Paperback,243,,,,2020/10/13,,,read,,,,1,,,0,,,,,
10709026,Use a Cabeça HTML com CSS e XHTML,Elisabeth Robson,"Robson, Elisabeth",Eric Freeman,"=""""","=""9788576082187""",0,4.16,Alta Books,Paperback,580,2008,2005,,2020/10/13,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ","=""""","=""""",0,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,2020/10/13,,,read,,,,1,,,0,,,,,
65438,O Caçador de Pipas,Khaled Hosseini,"Hosseini, Khaled",Maria Helena Rouanet,"=""8520917674""","=""9788520917671""",0,4.31,Nova Fronteira,Paperback,365,2003,2003,,2020/10/13,,,read,,,,1,,,0,,,,,
31869077,The Internet of Money,Andreas M. Antonopoulos,"Antonopoulos, Andreas M.",,"=""""","=""""",0,4.09,Merkle Bloom LLC,Kindle Edition,150,2016,2016,,2020/10/13,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.40,Vintage,Paperback,512,2015,2011,,2020/10/13,,,read,,,,1,,,0,,,,,
11709037,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",David McRaney,"McRaney, David",,"=""1592406599""","=""9781592406593""",5,3.85,Gotham Books,Hardcover,302,2011,2011,,2018/04/22,,,read,,,,2,,,0,,,,,
2272880,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0375424040""","=""9780375424045""",5,3.93,Pantheon Books,Hardcover,252,2008,2008,,2018/04/22,,,read,,,,2,,,0,,,,,
